category,id
bodypart,88. finger
bodypart,94. foot
bodypart,235. toe
bodypart,86. eye
bodypart,115. hand
bodypart,155. nose
bodypart,7. arm
furniture-and-utensils,53. chair
furniture-and-utensils,104. glass
furniture-and-utensils,22. bed
furniture-and-utensils,97. fork
furniture-and-utensils,215. spoon
furniture-and-utensils,179. pot
furniture-and-utensils,72. desk
furniture-and-utensils,128. key
household-objects-tools-and-instruments,228. television
household-objects-tools-and-instruments,237. toothbrush
household-objects-tools-and-instruments,30. book
household-objects-tools-and-instruments,167. pen
household-objects-tools-and-instruments,185. refrigerator
household-objects-tools-and-instruments,250. watch
food-and-clothing,36. bread
food-and-clothing,162. pants
food-and-clothing,211. socks
food-and-clothing,203. shirt
food-and-clothing,224. sweater
food-and-clothing,6. apple
food-and-clothing,236. tomato
buildings-building-features-and-vehicles,76. door
buildings-building-features-and-vehicles,122. house
buildings-building-features-and-vehicles,257. window
buildings-building-features-and-vehicles,47. car
buildings-building-features-and-vehicles,77. doorknob
buildings-building-features-and-vehicles,242. truck
buildings-building-features-and-vehicles,27. bicycle
animals-plans-and-insects,241. tree
animals-plans-and-insects,73. dog
animals-plans-and-insects,49. cat
animals-plans-and-insects,91. flower
animals-plans-and-insects,28. bird
animals-plans-and-insects,182. rabbit
animals-plans-and-insects,81. duck
