"","coder","participant_number","session_trial_id"
"1","Glenn",16,95
"2","Glenn",21,1
"3","Glenn",22,18
"4","Glenn",26,1
"5","Glenn",26,2
"6","Glenn",26,3
"7","Glenn",26,4
"8","Glenn",26,5
"9","Glenn",26,6
"10","Glenn",26,7
"11","Glenn",26,8
"12","Glenn",26,9
"13","Glenn",26,10
"14","Glenn",26,11
"15","Glenn",26,12
"16","Glenn",26,13
"17","Glenn",26,14
"18","Glenn",26,15
"19","Glenn",26,16
"20","Glenn",26,17
"21","Glenn",26,18
"22","Glenn",26,19
"23","Glenn",26,20
"24","Glenn",26,51
"25","Glenn",33,28
"26","Glenn",33,43
"27","Glenn",33,58
"28","Glenn",33,99
"29","Glenn",45,41
"30","Glenn",66,6
"31","Glenn",75,11
"32","Glenn",92,44
"33","Glenn",92,93
"34","Glenn",98,1
"35","Glenn",98,4
"36","Glenn",98,5
"37","Glenn",98,21
"38","Glenn",98,22
"39","Glenn",111,17
"40","Glenn",125,58
"41","Glenn",130,1
"42","Glenn",130,96
"43","Glenn",130,97
"44","Glenn",145,39
"45","Glenn",145,48
"46","Glenn",156,14
"47","Glenn",156,15
"48","Glenn",156,20
"49","Glenn",160,21
"50","Glenn",162,74
"51","Glenn",176,59
"52","Glenn",176,75
"53","Glenn",176,85
"54","Glenn",176,86
"55","Glenn",176,87
"56","Glenn",176,98
"57","Glenn",176,99
"58","Glenn",178,63
"59","Glenn",178,100
"60","Vera",10,39
"61","Vera",10,82
"62","Vera",10,83
"63","Vera",10,85
"64","Vera",10,86
"65","Vera",10,89
"66","Vera",10,95
"67","Vera",10,98
"68","Vera",10,99
"69","Vera",15,4
"70","Vera",15,5
"71","Vera",15,15
"72","Vera",15,16
"73","Vera",15,97
"74","Vera",16,95
"75","Vera",21,1
"76","Vera",22,18
"77","Vera",26,1
"78","Vera",26,2
"79","Vera",26,3
"80","Vera",26,4
"81","Vera",26,5
"82","Vera",26,6
"83","Vera",26,7
"84","Vera",26,8
"85","Vera",26,9
"86","Vera",26,10
"87","Vera",26,11
"88","Vera",26,12
"89","Vera",26,13
"90","Vera",26,14
"91","Vera",26,15
"92","Vera",26,16
"93","Vera",26,17
"94","Vera",26,18
"95","Vera",26,19
"96","Vera",26,20
"97","Vera",26,51
"98","Vera",33,28
"99","Vera",33,43
"100","Vera",33,58
"101","Vera",33,64
"102","Vera",33,99
"103","Vera",45,41
"104","Vera",65,29
"105","Vera",66,6
"106","Vera",73,102
"107","Vera",75,11
"108","Vera",92,44
"109","Vera",92,93
"110","Vera",98,1
"111","Vera",98,3
"112","Vera",98,4
"113","Vera",98,5
"114","Vera",98,21
"115","Vera",98,22
"116","Vera",111,17
"117","Vera",116,1
"118","Vera",116,2
"119","Vera",116,4
"120","Vera",116,5
"121","Vera",116,6
"122","Vera",116,7
"123","Vera",116,8
"124","Vera",116,9
"125","Vera",116,10
"126","Vera",119,1
"127","Vera",119,2
"128","Vera",119,3
"129","Vera",119,4
"130","Vera",119,5
"131","Vera",119,6
"132","Vera",119,7
"133","Vera",119,8
"134","Vera",119,9
"135","Vera",119,10
"136","Vera",119,11
"137","Vera",119,12
"138","Vera",119,13
"139","Vera",119,14
"140","Vera",119,15
"141","Vera",119,16
"142","Vera",119,17
"143","Vera",119,18
"144","Vera",119,19
"145","Vera",119,20
"146","Vera",119,21
"147","Vera",119,22
"148","Vera",119,23
"149","Vera",119,24
"150","Vera",119,25
"151","Vera",119,26
"152","Vera",119,27
"153","Vera",119,28
"154","Vera",119,29
"155","Vera",119,30
"156","Vera",119,31
"157","Vera",119,32
"158","Vera",119,33
"159","Vera",119,34
"160","Vera",119,35
"161","Vera",119,36
"162","Vera",119,37
"163","Vera",119,38
"164","Vera",119,39
"165","Vera",119,40
"166","Vera",119,41
"167","Vera",119,42
"168","Vera",119,43
"169","Vera",119,44
"170","Vera",119,45
"171","Vera",119,46
"172","Vera",119,47
"173","Vera",119,48
"174","Vera",119,49
"175","Vera",119,50
"176","Vera",119,51
"177","Vera",119,52
"178","Vera",119,53
"179","Vera",119,54
"180","Vera",119,55
"181","Vera",119,56
"182","Vera",119,57
"183","Vera",119,58
"184","Vera",119,59
"185","Vera",119,60
"186","Vera",119,61
"187","Vera",119,62
"188","Vera",119,63
"189","Vera",119,64
"190","Vera",119,65
"191","Vera",119,66
"192","Vera",119,67
"193","Vera",119,68
"194","Vera",119,69
"195","Vera",119,70
"196","Vera",119,71
"197","Vera",119,72
"198","Vera",119,73
"199","Vera",119,74
"200","Vera",119,75
"201","Vera",119,76
"202","Vera",119,77
"203","Vera",119,78
"204","Vera",119,79
"205","Vera",119,80
"206","Vera",119,81
"207","Vera",119,82
"208","Vera",119,83
"209","Vera",119,84
"210","Vera",119,85
"211","Vera",119,86
"212","Vera",119,87
"213","Vera",119,88
"214","Vera",119,89
"215","Vera",119,90
"216","Vera",119,91
"217","Vera",119,92
"218","Vera",119,93
"219","Vera",119,94
"220","Vera",119,95
"221","Vera",119,96
"222","Vera",119,97
"223","Vera",119,98
"224","Vera",119,99
"225","Vera",119,100
"226","Vera",119,101
"227","Vera",119,102
"228","Vera",125,58
"229","Vera",130,1
"230","Vera",130,49
"231","Vera",130,87
"232","Vera",130,96
"233","Vera",130,97
"234","Vera",130,99
"235","Vera",132,1
"236","Vera",132,2
"237","Vera",132,3
"238","Vera",132,4
"239","Vera",132,5
"240","Vera",132,6
"241","Vera",132,7
"242","Vera",132,8
"243","Vera",132,9
"244","Vera",132,10
"245","Vera",132,11
"246","Vera",132,12
"247","Vera",132,13
"248","Vera",132,14
"249","Vera",132,15
"250","Vera",132,16
"251","Vera",132,17
"252","Vera",132,18
"253","Vera",132,19
"254","Vera",132,20
"255","Vera",132,21
"256","Vera",132,22
"257","Vera",132,23
"258","Vera",132,24
"259","Vera",132,25
"260","Vera",132,26
"261","Vera",132,27
"262","Vera",132,28
"263","Vera",132,29
"264","Vera",132,30
"265","Vera",132,31
"266","Vera",132,32
"267","Vera",132,33
"268","Vera",132,34
"269","Vera",132,35
"270","Vera",132,36
"271","Vera",132,37
"272","Vera",132,38
"273","Vera",132,39
"274","Vera",132,40
"275","Vera",132,41
"276","Vera",132,42
"277","Vera",132,43
"278","Vera",132,44
"279","Vera",132,45
"280","Vera",132,46
"281","Vera",132,47
"282","Vera",132,48
"283","Vera",132,49
"284","Vera",132,50
"285","Vera",132,51
"286","Vera",132,52
"287","Vera",132,53
"288","Vera",132,54
"289","Vera",132,55
"290","Vera",132,56
"291","Vera",132,57
"292","Vera",132,58
"293","Vera",132,59
"294","Vera",132,60
"295","Vera",132,61
"296","Vera",132,62
"297","Vera",132,63
"298","Vera",132,64
"299","Vera",132,65
"300","Vera",132,66
"301","Vera",132,67
"302","Vera",132,68
"303","Vera",132,69
"304","Vera",132,70
"305","Vera",132,71
"306","Vera",132,72
"307","Vera",132,73
"308","Vera",132,74
"309","Vera",132,75
"310","Vera",132,76
"311","Vera",132,77
"312","Vera",132,78
"313","Vera",132,79
"314","Vera",132,80
"315","Vera",132,81
"316","Vera",132,82
"317","Vera",132,83
"318","Vera",132,84
"319","Vera",132,85
"320","Vera",132,86
"321","Vera",132,87
"322","Vera",132,88
"323","Vera",132,89
"324","Vera",132,90
"325","Vera",132,91
"326","Vera",132,92
"327","Vera",132,93
"328","Vera",132,94
"329","Vera",132,95
"330","Vera",132,96
"331","Vera",132,97
"332","Vera",132,98
"333","Vera",132,99
"334","Vera",132,100
"335","Vera",132,101
"336","Vera",132,102
"337","Vera",145,19
"338","Vera",145,27
"339","Vera",145,39
"340","Vera",145,48
"341","Vera",150,88
"342","Vera",156,14
"343","Vera",156,15
"344","Vera",156,20
"345","Vera",160,21
"346","Vera",162,74
"347","Vera",172,90
"348","Vera",176,59
"349","Vera",176,75
"350","Vera",176,85
"351","Vera",176,86
"352","Vera",176,87
"353","Vera",176,98
"354","Vera",176,99
"355","Vera",178,63
"356","Vera",178,100
"357","Vera",179,3
"358","Vera",182,88
