"","participant_number","session_trial_id","target","target_lag","primary_coder_response","secondary_coder_response"
"1",10,32,"snOf","flOb","flOb","flOf"
"2",13,51,"balf","nOflE","nOfl","nOflE"
"3",14,45,"nEsk","nEf","nEfk","nEf"
"4",58,18,"mOls","nal","nalb","nal"
"5",66,10,"nifs","lOm","lOm","lOm"
"6",68,21,"nOflE","nifs","nifs","nifs"
"7",89,21,"mif","mOls","mOls","mOls"
"8",92,11,"blaf","slinab","slinOb","slinab"
"9",99,31,"daf","nEf","nEf","nEf"
"10",100,18,"smiba","snid","snid","snud"
"11",104,35,"nifs","nEf","nEf","nE"
"12",111,37,"blim","nEsk","nEsk","nEsk"
"13",122,2,"nal","mif","mif","mif"
"14",122,3,"smadu","nal","nal","nal"
"15",122,5,"flidu","nifs","nifs","nifs"
"16",122,6,"snid","flidu","flidu","flidu"
"17",122,7,"kublE","snid","snid","snid"
"18",122,8,"dEsna","kublE","kublE","kublE"
"19",122,9,"snOf","dEsna","dEsna","dEsna"
"20",122,10,"blEkus","snOf","snOf","fnOf"
"21",122,12,"mif","nifs","nifs","nifs"
"22",122,14,"blEkus","kublE","kublE","kublE"
"23",122,15,"smadu","blEkus","blEkus","blEkus"
"24",122,16,"dEsna","smadu","smadO","smadu"
"25",122,17,"snid","dEsna","dEsna","dEsna"
"26",122,18,"flidu","snid","snid","snid"
"27",122,19,"snOf","flidu","flidu","flidu"
"28",122,20,"nal","snOf","snOf","snOf"
"29",122,22,"dasmu","smiba","smiba","smiba"
"30",130,3,"nEf","bEsmi","bismi","bEsmi"
"31",130,11,"smiba","flOb","flOb","flOb"
"32",130,14,"nOflE","nEf","nif","nEf"
"33",130,40,"nifs","dEsna","disna","dEsna"
"34",130,52,"fOns","kublE","kubli","kublE"
"35",135,17,"fOns","smadu","smadu","smadu"
"36",145,51,"blaf","balf","balf","balf"
"37",152,14,"slOku","nifs","nifs","nifs"
"38",162,8,"flidu","snOf","snOf","snOf"
"39",162,13,"flOb","snOf","snOf","snOf"
"40",162,15,"blaf","mOls","mOls","mOls"
"41",172,14,"slOku","flidu","flidu","flidu"
"42",172,49,"nOflE","fOns","dOns","fOns"
"43",176,2,"nEsk","flOb","flOb","ha"
"44",176,23,"dEsna","fOns","fOns","fOns"
"45",176,28,"blaf","nEf","nEf","nEf"
"46",176,40,"fOns","smadu","smadO","smadu"
"47",176,43,"mOls","flidu","flidu","flidu"
"48",176,55,"bEsmi","slOku","slOku","flOku"
"49",178,2,"nEsk","nifs","nifs","nifs"
"50",178,3,"mif","nEsk","nEsk","nEsk"
"51",178,4,"skEfi","mif","mif","mif"
"52",178,5,"flidu","skEfi","skEfi","skEfi"
"53",178,6,"blEkus","flidu","flidu","flidu"
"54",178,7,"kublE","blEkus","blEkus","blEkus"
"55",178,8,"daf","kublE","kublE","kublE"
"56",178,9,"snOf","daf","daf","daf"
"57",178,10,"snibOl","snOf","snOf","snOf"
"58",178,11,"mif","snibOl","snibOl","snibOl"
"59",178,13,"skEfi","nifs","nifs","nifs"
"60",178,14,"flidu","skEfi","skEfi","skEfi"
"61",178,15,"snOf","flidu","flidu","flidu"
"62",178,16,"blEkus","snOf","snOf","snOf"
"63",178,17,"daf","blEkus","blEkus","blEkus"
"64",178,18,"nEsk","daf","dOf","daf"
"65",178,19,"kublE","nEsk","nEsk","nEsk"
"66",178,20,"snibOl","kublE","kublE","kublE"
"67",178,22,"slOku","balf","balf","balf"
"68",178,23,"mOls","slOku","slOku","slOku"
"69",178,24,"fub","mOls","mOls","mOls"
"70",178,25,"dasmu","fub","fub","fub"
"71",178,26,"snid","dasmu","dasmu","dasmu"
"72",178,27,"blaf","snid","snid","snid"
"73",178,28,"blim","blaf","blaf","blaf"
"74",178,29,"smiba","blim","blim","blim"
"75",178,30,"fOns","smiba","smiba","smiba"
"76",178,32,"fub","snid","snid","snid"
"77",178,33,"slOku","fub","fub","fub"
"78",178,34,"blaf","slOku","slOku","slOku"
"79",178,35,"fOns","blaf","blaf","blaf"
"80",178,36,"smiba","fOns","fOns","fOns"
"81",178,37,"balf","smiba","smiba","smiba"
"82",178,38,"dasmu","balf","balf","balf"
"83",178,39,"blim","dasmu","dEsmu","dasmu"
"84",178,40,"mOls","blim","balim","blim"
"85",184,7,"snid","fOns","fOns","fOns"
"86",184,37,"flEsOd","slinab","slinab","slinab"
"87",187,35,"smiba","snibOl","snibO","snibOl"
