task,language_variety,dialect_words,total,n_obs,n_subj,total_prop,mean_prop,sd_prop,se_prop
Reading,Variety Match,Non-contrastive,6,566,56,0.01060070671378092,0.009183673469387754,0.02931017727240067,0.0039167371892475595
Reading,Variety Match,Contrastive,27,615,56,0.04390243902439024,0.04536713286713286,0.07456519066397695,0.009964192730145595
Reading,Variety Match,Untrained,5,519,54,0.009633911368015413,0.007716049382716049,0.029266533961061245,0.003982670819135281
Reading,Variety Mismatch,Non-contrastive,10,537,55,0.0186219739292365,0.021895982805073714,0.052894464560434014,0.007132288146342289
Reading,Variety Mismatch,Contrastive,52,583,56,0.08919382504288165,0.1096627083234226,0.16425690317749042,0.021949751967952468
Reading,Variety Mismatch,Untrained,4,478,55,0.008368200836820083,0.006060606060606061,0.0218401498085249,0.002944925199416818
Spelling,Variety Match,Non-contrastive,4,636,55,0.006289308176100629,0.0077622377622377624,0.02960402361175,0.003991805729480084
Spelling,Variety Match,Contrastive,14,662,56,0.021148036253776436,0.025595436309722025,0.054428161235548334,0.007273268983411161
Spelling,Variety Match,Untrained,0,545,56,0,0,0,0
Spelling,Variety Mismatch,Non-contrastive,5,605,56,0.008264462809917356,0.010601551226551226,0.035089215605400674,0.004688993670216103
Spelling,Variety Mismatch,Contrastive,26,633,56,0.04107424960505529,0.049071464250035675,0.09775496394766287,0.013063056533878325
Spelling,Variety Mismatch,Untrained,0,532,56,0,0,0,0
